name,cas,solvent_1,solvent_2,solvent_3,solvent_4,solvent_5
"Dimedone (5,5-dimethylcyclohexane-1,3-dione, Methone)",126-81-8,acetone,,,,
N-Phenyl 2-oxocyclopentanecarboxamide,4874-65-1,ethanol,,,,
"(+)-α-Fenchol (1R-1,3,3-trimethylnorbornan-2-ol)",1632-73-1,petroleum_ether,,,,
"Gibberillic acid A3 (gibberillin A3, GA3)",77-06-5,ethyl_acetate,methanol,,,
"N-Hydroxy-5-norbornene-2,3-dicarboxylic acid imide",21715-90-2,ethyl_acetate,,,,
dl-Isoborneol,124-76-5,ethanol/petroleum_ether,,,,
1-Methyladamantane,768-91-2,ethanol,,,,
"Methylnorbornene-2,3-dicarboxylic anhydride (5-methylnorborn-5-ene-2-endo-3-endo-dicarboxylic anhydride)",25134-21-8,hexane,,,,
Picrotoxin (cocculin),124-87-8,water/acetone/water,,,,
"1R,3R,4R,5R-Quinic acid (1,3,4,5-tetrahydroxycyclohexane carboxylic acid)",77-95-2,water,ethanol,,,
"Reductic acid (1,2-dihydroxycyclopent-1,2-en-3-one)",80-72-8,ethanol,,,,
"cis,cis-1α,3α,5α-Trimethylcyclohexane-1,3,5-tricarboxylic acid (Kemp’s acid)",79410-20-1,acetone,,,,
Acenaphthene,83-32-9,ethanol,,,,
RS-1-Acenaphthenol,6306-07-6,acetic_acid,,,,
2-Acetamidophenol,614-80-2,water,,,,
p-Acetamidophenylacetic acid (Actarit),18699-02-0,methanol/acetone,water,,,
Acetoacetanilide,102-01-2,water,,,,
"4-Acetophenetidide (Phenacetin, p-methoxyacetanilide)",62-44-2,water/ethanol,,,,
Aceto-o-toluidide (2-methylacetanilide),120-66-1,water,,,,
1-Acetylanthracene,7396-21-6,ethyl_acetate,,,,
2-Acetylanthracene,10210-32-9,ethanol,ethyl_acetate,,,
9-Acetylanthracene,784-04-3,ethanol,ethyl_acetate,,,
2-Acetylbenzoic acid,577-56-0,water,,,,
Acetyl-5-bromosalicylic acid,1503-53-3,ethanol,,,,
2-Acetylfluorene,781-73-7,ethanol/acetone,,,,
5(3)-Acetyl-2(6)-methoxybenzaldehyde,531-99-7,water,ethanol,,,
1-Acetylnaphthalene (1-acetonaphthenone),941-98-0,ethanol,petroleum_ether,,,
Acetylsalicylic acid (Aspirin),50-78-2,isopropanol/petroleum_ether,ethanol,toluene,,
O-Acetylsalicyloyl chloride,5538-51-2,hexane,,,,
O-Acetylsalicylsalicylic acid (Salsalate acetate),530-75-6,acetic_acid/ethanol,,,,
"Alizarin (1,2-dihydroxyanthraquinone, Mordant Red 11)",72-48-0,ethanol/water,,,,
o-Aminoacetophenone (2-acetylaniline),551-93-9,ethanol/water,water,ethanol,,
m-Aminoacetophenone (3-acetylaniline),99-03-6,ethanol,diethyl_ether,,,
p-Aminoacetophenone (4-acetylaniline),99-92-3,chloroform,,,,
"ω-Aminoacetophenone hydrochloride (phenacylamine hydrochloride, 2-aminoacetophenone HCl)",,acetone/ethanol,,,,
1-Aminoanthraquinone-2-carboxylic acid,82-24-6,acetic_acid,,,,
"p-Aminoazobenzene (p-phenylazoaniline, Aniline yellow)",60-09-3,ethanol,,,,
"o-Aminoazotoluene (Fast Garnet GBC base, 4'-amino-2,3'dimethylazobenzene, Solvent yellow 3)",,ethanol,,,,
2-Aminobenzaldehyde,529-23-7,water/ethanol/diethyl_ether,acetone,,,
4-Aminobenzamide hydrochloride,59855-11-7,ethanol,,,,
"o-Aminobenzoic acid (2-AA, anthranilic acid)",118-92-3,water,methanol,ethanol,,
o-Aminobenzonitrile (o-cyanoaniline),1885-29-6,water,,,,
2-Aminobenzophenone (2-benzoylaniline),2835-77-0,water,carbon_tetrachloride,ethanol,,
2-Aminobiphenyl (o-aminobiphenyl),90-41-5,ethanol,,,,
5-Amino-2-bromobenzoic acid (3-Amino-6-bromobenzoic acid),2840-02-0,water,,,,
2-Amino-5-bromotoluene (4-bromo-2-methylaniline),583-75-5,ethanol,,,,
2-Amino-5-chlorobenzoic acid (5-chloroanthranilic acid),635-21-1,ethanol,acetone,,,
4-Amino-4'-chlorobiphenyl,135-68-2,petroleum_ether,ethanol,,,
"2-Amino-4,6-dichlorophenol",527-62-8,ethanol,,,,
"4-Amino-N,N-diethylaniline hydrochloride",16713-15-8,ethanol,,,,
2-Aminodiphenylamine (N-phenyl-o-phenylenediamine),534-85-0,water/ethanol,,,,
4-Aminodiphenylamine,101-54-2,ethanol,methanol,petroleum_ether,,
"2-Amino-1,2-diphenylethanol (1,2-diphenylethanolamine, four stereoisomers)",530-36-9,ethanol,,,,
2-Aminodiphenylmethane (2-benzylaniline),28059-64-5,diethyl_ether,,,,
1-Aminofluorene (1-fluorenamine),6344-63-0,ethanol,petroleum_ether,diethyl_ether/water,,
9-Aminofluorene (9-fluorenamine),525-03-1,petroleum_ether,,,,
3-Amino-4-hydroxytoluene (2-amino-p-cresol),95-84-1,water,,,,
5-Aminoindane,24425-40-9,petroleum_ether,,,,
2-Amino-5-iodotoluene,13194-68-8,ethanol/water,,,,
4-Aminomethylbenzenesulfonamide hydrochloride (Mafenide HCl),138-37-4,ethanol/water,,,,
1-Amino-4-nitronaphthalene,776-34-1,ethanol,acetone,,,
4-Aminophenylacetic acid,1197-55-3,ethanol,,,,
N-Aminophthalimide,1875-48-5,ethanol,water,,,
4-Aminopropiophenone (PAPP),70-69-9,ethanol,,,,
4-(2-Aminopropyl)phenol (Hydroxyamphetamine),103-86-6,ethanol,,,,
1-Aminopyrene,1606-67-3,hexane,,,,
"4-Aminosalicylic acid (PAS, p-aminosalicylic acid)",65-49-6,ethanol,,,,
Aniline,62-53-3,diethyl_ether,ethanol,ethanol/water,,
o-Anisidine (2-methoxyaniline),90-04-0,water,,,,
