name,cas,solvent_1,solvent_2,solvent_3,solvent_4,solvent_5
"Cyclotrimethylenetrinitramine (RDX, Cyclonite, 1,3,5-trinitrohexahydro-1,3,5-triazine)",121-82-4,acetone,,,,
cis-Decahydroisoquinoline,2744-08-3,ethanol,,,,
cis-Decahydroquinoline,10343-99-4,petroleum_ether,ethanol/ethyl_acetate,,,
Delphinine,561-07-9,ethanol,diethyl_ether/acetone,methanol/methanol/diethyl_ether,,
"4,5-Diamino-2,6-dihydroxypyrimidine (diamino uracil) sulfate",32014-70-3,water,,,,
"5,6-Diamino-1,3-dimethyluracil hydrate (5,6-diamino-1,3-dimethyl-2-pyrimidine-2,4-dione hydrate)",5440-00-6,ethanol,,,,
"6,9-Diamino-2-ethoxyacridine (Ethacridine)",442-16-0,ethanol/water/ethanol,,,,
"2,4-Diamino-6-hydroxypyrimidine",56-06-4,water,,,,
"4,5-Diamino-6-hydroxypyrimidine hemisulfate",102783-18-6,water,,,,
"2,4-Diamino-5-phenylthiazole (DAPT, Amiphenazole)",490-55-1,methanol,,,,
"1,8-Diazabiphenylene",259-84-7,cyclohexane,,,,
Dibenzo-24-crown-8,14174-09-5,ethanol,,,,
"1,3-Dibromo-5,5-dimethylhydantoin",77-48-5,water,,,,
"4',5'-Dibromofluorescein",596-03-2,water,,,,
"5,7-Dibromo-8-hydroxyquinoline (Broxyquinoline)",521-74-4,acetone/ethanol,,,,
"2,6-Dibromopyridine",626-05-1,ethanol,,,,
"3,5-Dicarbethoxy-1,4-dihydro-2,4,6-collidine",632-93-9,ethanol,,,,
"1,3-Dichloro-5,5'-dimethylhydantoin",118-52-5,chloroform,,,,
"4,5-Dichloro-3H-1,2-dithiol-3-one",1192-52-5,petroleum_ether,,,,
"5,7-Dichloro-8-hydroxyquinoline",773-76-2,acetone/ethanol,,,,
"5,7-Dichloro-2-methyl-8-hydroxyquinoline (5,7-dichloro-8-hydroxyquinaldine)",72-80-0,ethanol,,,,
"2,6-Dichloropyridine",2402-78-0,ethanol,,,,
"3,5-Dichloropyridine",2457-47-8,ethanol,,,,
"2,6-Dichloropyridine-3-carboxylic acid (2,6-dichloronicotinic acid)",38496-18-3,water/diethyl_ether/petroleum_ether,,,,
"2,6-Dichloropyridine-4-carboxylic acid (2,6-dichloroisonicotinic acid)",5398-44-7,water,ethanol,,,
"5,6-Dichloropyridine-3-carboxylic acid (5,6-dichloronicotinic acid)",41667-95-2,petroleum_ether,,,,
"4,7-Dichloroquinoline",86-98-6,methanol/ethanol/water,,,,
"1,1'-Diethyl-2,2'-cyanine iodide",977-96-8,ethanol,,,,
"Dihydropyran (3,4-dihydro-2H-pyran)",110-87-2,water,,,,
"trans-2,3-Dihydroxy-1,4-dioxane",4845-50-5,acetone,,,,
"2,5-Dihydroxy-1,4-dithiane",40018-26-6,petroleum_ether,ethanol,,,
"S(-)-4',7-Dihydroxyflavanone (3,4'-dihydroxyisoflavone, Liquiritigenin)",578-86-9,water,,,,
"5,7-Dihydroxy-4'-methoxyflavone (Acacetin)",480-44-4,ethanol/water,,,,
"(±)-7-(2,3-Dihydroxypropyl)theophylline (Diprophylline, Dyphylline)",479-18-5,ethanol/water,,,,
"1,3-Diiminoisoindoline",3468-11-9,water,ethanol,,,
"5,7-Diiodo-8-hydroxyquinoline",83-73-8,xylene,,,,
6-Dimethylaminopurine,938-55-6,ethanol/diethyl_ether,water,,,
"1,1'-Dimethyl-4,4'-bipyridylium dichloride (3H2O; Methyl Viologen Dichloride, paraquat dichloride)",1910-42-5,methanol,,,,
"1,3-Dimethylbutadiene sulfone (1,3-dimethylsulfolene, 2,5-dihydro-2,4-dimethylthiophene)",10033-92-8,diethyl_ether,,,,
"2,2-Dimethyl-1,3-dioxan-4,6-dione (Meldrum’s Acid)",2033-24-1,acetone/water,,,,
"5,5-Dimethylhydantoin",77-71-4,ethanol,,,,
"1,2-Dimethyl-1H-imidazole",1739-84-0,water/ethanol,,,,
"2,9-Dimethyl-1,10-phenanthroline (neocuproine hemihydrate)",484-11-7,water/petroleum_ether,water,,,
"4,4-Dimethyl-2,6-piperidinedione (4,4-dimethylglutarimide)",1123-40-6,water,,,,
"3,5-Dimethylpyrazole",67-51-6,cyclohexane,,,,
"2,3-Dimethylquinoxaline",2379-55-7,ethanol,,,,
"1,3-Diphenylisobenzofuran",5471-63-6,ethanol/ethanol/chloroform,,,,
"2,5-Diphenyl-1,3,4-oxadiazole (PPD)",725-12-2,ethanol,,,,
"2,5-Diphenyloxazole (PPO)",92-71-7,petroleum_ether,,,,
"2RS,5RS-(±)-2,5-Diphenylpyrrolidine (± trans isomer)",22147-84-8,ethanol/diethyl_ether,,,,
"R-(+)-α, α-Diphenyl-2-pyrrolidinemethanol (α, α-Diphenyl-D-prolinol)",22348-32-9,ethanol/hexane,,,,
"S-(-)-α, α-Diphenyl-2-pyrrolidinemethanol (α, α-diphenyl-L-prolinol)",112068-01-6,water,ethanol/hexane,,,
"2,2'-Dipyridyl disulfide (2,2'dithiopyridine, Aldrithiol-2)",2127-03-9,petroleum_ether,,,,
"4,4'-Dipyridyl disulfide (4,4'-dithiopyridine, Aldrithiol-4)",2645-22-9,water,,,,
"1,2-Di-(4-pyridyl)-ethane",4916-57-8,ethanol,cyclohexane,,,
"1,3-Di-(4-pyridyl)-propane",17252-51-6,acetone,,,,
"4,4'-Dithiodimorpholine (S,S’-di-N,N’-dimorpholine, dimorpholine-N,N’-disulfide)",103-34-4,ethanol,,,,
"1,3-Dithiole-2-thione (Vinylene trithiocarbonate, 1,3-dithiocyclopent-4-ene-2-thione, isotrithione)",,methanol,,,,
1-Dodecylpyridinium chloride,104-74-5,acetone,,,,
"Elymoclavine (8,9-didehydro-6-methylergoline-8-methanol)",548-43-6,methanol,,,,
"5.77, pK2 6.64. It crystallises from MeOH/Et2O, MeOH or Et2O/EtOAc. The free base",483-18-1,methanol/diethyl_ether,ethyl_acetate/petroleum_ether,,,
Ergocornine,564-36-3,methanol,,,,
α-Ergocryptine,511-09-1,acetone,,,,
Ergotamine,113-15-5,methanol,,,,
"D-Erythronic acid γ-lactone (3R-3,4-dihydroxyfuran-2-one)",15667-21-7,ethyl_acetate,,,,
"2-Ethyl-1,2-benzisoxazolium tetrafluoroborate",4611-62-5,acetonitrile,,,,
N-Ethylcarbazole,86-28-2,methanol,,,,
Ethylene thiourea (2-imidazolidinethione),96-45-7,ethanol,,,,
Ethylene urea (2-imidazolidone),120-93-4,methanol,,,,
"(±)-3-Ethyl-3-phenyl-2,6-piperidinedione (Glutethimide)",77-21-4,ethyl_acetate/petroleum_ether,diethyl_ether,,,
4-Ethylpyridine,536-75-4,acetone/diethyl_ether,,,,
Flavone (2-phenyl-4H-1-benzopyran-4-one),525-82-6,petroleum_ether,,,,
Fluoresceinamine (mixture of 5- and 6-aminofluorescein),27599-63-9,water,,,,
"4-Fluoro-7-nitrobenzofurazan (4-fluoro-7-nitrobenzo-2-oxa-1,3-diazole)",29270-56-2,petroleum_ether,water/methanol/diethyl_ether,,,
Furan-2-carboxylic (2-furoic) acid,88-14-2,chloroform,,,,
Furil,492-94-4,methanol,,,,
Fusaric acid (5-n-butylpyridine-2-carboxylic acid),536-69-6,methanol,water,,,
Gramine (3-dimethylaminoethylindole),87-52-5,ethanol/diethyl_ether,,,,
"(2S,6’R)(+)-Griseofulvin",126-07-8,ethanol,,,,
"Hesperetin (3',5,7-trihydroxy-4'-methoxyflavanone)",520-33-2,ethanol,ethyl_acetate/ethanol,,,
"1-Hydrazinophthalazine (hydralazine, Alphapress)",86-54-4,methanol,,,,
2-Hydrazinopyridine,4930-98-7,diethyl_ether/hexane,,,,
"4-Hydroxyacridine (4-acridinol, neo-oxine)",18123-20-1,ethanol,,,,
N-2-Hydroxyethylpiperazine-N'-2-ethanesulfonic acid (HEPES),7365-45-9,ethanol,,,,
7-Hydroxy-4-methylcoumarin (4-methylumbelliferone(β) hydrate),90-33-5,ethanol,,,,
5-(Hydroxymethyl)furfural,67-47-0,petroleum_ether,,,,
8-Hydroxy-2-methylquinoline,826-81-3,ethanol,,,,
4-Hydroxy-2-n-nonylquinoline N-oxide,316-66-5,ethanol,,,,
2-(2-Hydroxyphenyl)benzothiazole,3411-95-8,acetic_acid,,,,
2-(2-Hydroxyphenyl)benzoxazole,835-64-3,acetic_acid,,,,
3-Hydroxy-2-phenylcinchoninic acid (Oxycincophen),485-89-2,ethanol,,,,
"(±)-7-(2-Hydroxypropyl)theophylline (Proxyphylline, 1,3-dimethyl-3H,7H-purine-2,6-dione)",603-00-9,ethanol,,,,
2-Hydroxypyridine (2-pyridone),142-08-5,chloroform,,,,
3-Hydroxypyridine,109-00-2,methanol,water,,,
2(6)-Hydroxypyridine-5(3)-carboxylic acid (6-hydroxynicotinic acid),5006-66-6,acetone,,,,
"4-Hydroxypyridine-2,6-dicarboxylic acid (chelidamic acid)",138-60-3,methanol,,,,
2-Hydroxypyrimidine,557-01-7,ethanol,,,,
2-Hydroxyquinoline (carbostyril),59-31-4,diethyl_ether,methanol,,,
"8-Hydroxyquinoline (oxine, 8-quinolinol)",148-24-3,ethanol,,,,
"4-Hydroxy-2,2,6,6-tetramethylpiperidine",2403-88-5,ethanol,,,,
Ibogaine (12-methoxybogamine),83-74-9,ethanol,,,,
"2-Iminothiolane hydrochloride (2-iminotetrahydrothiophene, Traut’s reagent)",4781-83-3,methanol,,,,
"Indazole (1,2-benzopyrazole, 1,2-benzodiazole)",271-44-3,diethyl_ether,petroleum_ether,,,
Indole,120-72-9,ethanol,,,,
Indole-3-acetic acid (heteroauxin),87-51-4,ethanol,,,,
Indole-2-carboxaldehyde,19005-93-7,hexane,water,,,
Indole-3-propionic acid (IPA),830-96-6,methanol,ethanol,,,
trans-Indol-3-ylacrylic acid,1204-06-4,acetic_acid,,,,
3-Indolylbutyric acid (IBA),133-32-4,ethanol,water,,,
3-Indolylpyruvic acid,392-12-1,acetone,ethyl_acetate,,,
Isonicotinic acid (pyridine-4-carboxylic acid),55-22-1,water,ethanol/water,,,
1-Isonicotinyl-2-isopropylhydrazide (Iproniazid),54-92-2,petroleum_ether,,,,
"1-Isonicotinyl-2-isopropylhydrazide phosphate (Iproniazid phosphate, Marsilide)",305-33-9,water/acetone,petroleum_ether/ethanol,,,
1-Isonicotinyl-2-salicylidenehydrazide (Salinazide),495-84-1,ethanol,,,,
N-Isopropylcarbazole,1484-09-9,ethanol,isopropanol,,,
Isoquinoline,119-65-3,ethanol,acetonitrile,,,
"Jervine (3β,23β-17,23-epoxy-2-hydroxyvertraman-11-one, a steroidal alkaloid)",469-59-0,methanol/water,methanol,,,
"Kainic acid H2O (2S,3S,4S-2-carboxy-4-isoprenyl-3-pyrrolidine- acetic acid)",487-79-6,ethanol,water,,,
Kynurenic acid (4-hydroxyquinoline-2-carboxylic acid),492-27-3,methanol,,,,
"dl-Lupinine (1-hydroxymethyloctahydroquinolizine, 1-hydroxymethylquinolizidine)",10248-30-3,acetone,,,,
"2,3-Lutidine (2,3-dimethylpyridine)",583-61-9,ethanol,chloroform,,,
Lycorine,476-28-8,methanol,,,,
Maltol (3-hydroxy-2-methyl-4-pyrone),118-71-8,chloroform,,,,
2-Mercaptobenzothiazole,149-30-4,ethanol/water,acetone/water,,,
2-Mercaptoimidazole,872-35-5,acetone/water,,,,
2-Mercapto-1-methylimidazole,60-56-0,ethanol,,,,
5-Methoxyindole,1006-94-6,petroleum_ether/diethyl_ether,,,,
"5-(p-Methoxyphenyl)-1,2-dithiole-3-thione",42766-10-9,ethyl_acetate,,,,
Methyl 3-aminopyrazine-2-carboxylate,16298-03-6,water,,,,
9-Methylcarbazole (N-methylcarbazole),1484-12-4,petroleum_ether/ethanol,,,,
1-Methylguanine,938-85-2,water/water,,,,
2-Methylimidazole (2-methylglyoxaline),693-98-1,petroleum_ether,,,,
4(5)-Methylimidazole,822-36-6,petroleum_ether,,,,
2-Methylindole,95-20-5,diethyl_ether/diethyl_ether,,,,
3-Methylindole (skatole),83-34-1,diethyl_ether/diethyl_ether,,,,
"5-Methyl-1,10-phenanthroline",3002-78-6,petroleum_ether,,,,
5-Methylphenazinium methyl sulfate (PMS),299-11-6,ethanol,,,,
N-Methylphenothiazine (10-methylphenothiazine),1207-72-3,toluene/methanol,ethanol,,,
3-Methyl-1-phenyl-5-pyrazolone,89-25-8,water,,,,
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine hydrochloride (MPTP.HCl)",23007-85-4,acetone,,,,
S(+)-2-methylpiperazine,74879-18-8,methanol,,,,
1-Methyl-4-piperidone,1445-73-4,chloroform,methanol,,,
"2-Methylpyridine (2-picoline, α−picoline)",109-06-8,water,hexane,,,
3-Methylpyridine (3-picoline),108-99-6,acetone,,,,
4-Methylpyridine (4-picoline),108-89-4,ethanol,acetone,,,
"(±)-3-Methylsulfolane (3-methyltetrahydrothiophene-1,1-dioxide)",872-93-5,diethyl_ether,,,,
6-Methyluracil,626-48-2,ethanol/acetic_acid,,,,
1-Methyluric acid,708-79-2,water,,,,
Morpholine,110-91-8,ethanol/water,methanol,,,
2-(N-Morpholino)ethanesulfonic acid (MES),4432-31-9,ethanol,,,,
"α-Naphthoflavone (7,8-benzoflavone)",604-59-1,ethanol,,,,
Naphthol AS-acetate (3-acetoxynaphthoic acid anilide),1163-67-3,methanol,,,,
"1,5-Naphthyridine",254-79-5,ethanol,ethanol/diethyl_ether,,,
"1,8-Naphthyridine",254-60-4,petroleum_ether,,,,
Nicotinaldehyde thiosemicarbazone,3608-75-1,ethanol,,,,
4'-Nitrobenzo-15-crown-5,60835-69-0,ethanol,,,,
4-(4-Nitrobenzyl)pyridine (PNBP),1083-48-3,cyclohexane,ethanol,,,
"5-Nitro-1,10-phenanthroline",4199-88-6,water,petroleum_ether,,,
Octadecyl isonicotinate (hydrogen ionophore IV ETH 1778),103225-02-1,ethyl_acetate/hexane,,,,
2-Oxazolidinone (ethylene carbamate),497-25-6,chloroform,diethyl_ether,,,
"Oxine Blue (8-hydroxy-5-p-diethylaminophenylimino-5,8-dihydroquinoline)",3733-85-5,ethanol,,,,
Pentachloropyridine,2176-62-7,ethanol,,,,
"4,7-Phenanthroline-5,6-dione",84-12-8,methanol,,,,
Phenoxazine,135-67-1,ethanol,,,,
"9-Phenyl-3-fluorone (2,6,7-trihydroxy-9-phenylxanthen-3-one)",975-17-7,ethanol,,,,
2-Phenylindolizine,25379-20-8,acetonitrile,ethyl_acetate,ethanol,,
1-Phenyl-5-mercaptotetrazole,86-93-1,ethanol,,,,
4-Phenylpyridine-2-carbonitrile,18714-16-4,petroleum_ether,,,,
Phenyl 2-pyridyl ketoxime,1826-28-4,ethanol,,,,
6-Phenylquinoline,612-95-3,ethanol,,,,
"2-Phenylquinoline-4-carboxylic acid (Cinchophen, Atophen)",132-60-5,ethanol,,,,
1-Phenyl-5-sulfanilamidopyrazole,526-08-9,ethanol,,,,
"4-Phenyl-1,2,4-triazole-3,5-dione (PTAD)",4233-33-4,ethanol,,,,
Phthalazine,253-52-1,ethanol,,,,
Phthalazone (1-hydroxyphthalazine),119-39-1,water/ethanol,,,,
4-Picoline-N-oxide (4-methylpyridine-1-oxide),1003-67-4,ethanol/ethyl_acetate,,,,
Pinacyanol chloride (Quinaldine Blue),2768-90-3,methanol/ethanol,ethanol/ethanol,,,
Piperazine,110-85-0,ethanol,dimethylformamide,,,
Piperidine,110-89-4,acetone,ethanol,,,
"Piperidine-2,6-dione (glutarimide)",1121-89-7,acetone/ethanol,water,,,
Piperine (1-piperoylpiperidine),94-62-2,ethanol/ethyl_acetate,,,,
Poly(N-vinylcarbazole) (PVK),25067-59-8,tetrahydrofuran,,,,
Pteridine,91-18-9,ethanol,,,,
Purine,120-73-0,toluene/ethanol,,,,
Pyrazinecarboxamide,98-96-4,diethyl_ether/diethyl_ether,,,,
Pyrazole,288-13-1,petroleum_ether,,,,
"Pyrazole-N-1-carboximidine hydrochloride (Praxadine, 1-amidinopyrazole hydrochloride, 1H-pyrazole1-carboxamidine hydrochloride)",4023-02-3,dioxane/water,,,,
1H-Pyrazole-3-carboxylic acid,1621-91-6,water,,,,
1H-Pyrazole-4-carboxylic acid,37718-11-9,water,,,,
"Pyrazole-3,5-dicarboxylic acid",3112-31-0,diethyl_ether,,,,
Pyridine,110-86-1,ethanol,,,,
The 1:2-hydrochloride has m 46o,58888-58-7,chloroform/ethyl_acetate,,,,
Pyridine-2-aldoxime (pyridine-2-carboxaldoxime),873-69-8,diethyl_ether/petroleum_ether/water,ethanol,,,
"Pyridine-2,5-dicarboxylic acid (isocinchomeronic acid)",100-26-5,water,,,,
"Pyridine-3,4-dicarboxylic acid (cinchomeronic acid)",490-11-9,water,,,,
Pyridine N-oxide,694-59-7,diethyl_ether,,,,
Pyridine 3-sulfonic acid,636-73-7,water,,,,
4-Pyridinethiol (4-mercaptopyridine),4556-23-4,water,,,,
1-(2-Pyridylazo)-2-naphthol (PAN),85-85-8,ethanol/methanol,,,,
"3-(2-Pyridyl)-5,6-diphenyl-1,2,4-triazine",1046-56-6,ethanol/dimethylformamide,,,,
"α-Pyrone (2H-pyran-2-one, coumalin)",504-31-4,ethanol,,,,
Quinaldic (quinoline-2-carboxylic) acid,93-10-7,acetic_acid,,,,
Quinazoline,253-82-7,petroleum_ether,ethanol,,,
Quinoline,91-22-5,acetonitrile,ethanol,,,
2-Quinolinealdehyde,5470-96-2,water,,,,
Quinoxaline,91-19-0,petroleum_ether,,,,
"Rhamnetin (3,3'-4',5-tetrahydroxy-7-methoxy flavone, 7-methyl quercitin)",90-19-7,ethanol,acetone,,,
"Safranine O (Safranine T, 3,7-diamino-2,8-dimethyl-5-phenylphenazinium chloride, cotton Red)",,methanol,,,,
"2,2':6',2""-Terpyridyl",1148-79-4,diethyl_ether,petroleum_ether,,,
"2,4,5,6-Tetraaminopyrimidine sulfate",5392-28-9,water,,,,
"1,4,8,11-Tetraazacyclotetradecane (cyclam)",295-37-4,water,dioxane,,,
"2,3,4,6-Tetrachloropyridine",14121-36-9,ethanol,,,,
Tetrahydro-4H-thiopyran-4-one,1072-72-6,chloroform/petroleum_ether,acetic_acid,petroleum_ether,,
"2,2,6,6-Tetramethyl-4-piperidone hydrochloride (triacetoneamine HCl)",33973-59-0,ethanol/diethyl_ether,ethanol,,,
"1,3,7,9-Tetramethyl uric acid",2309-49-1,water/methanol,,,,
"5,10,15,20-Tetraphenylporphyrin (TPP)",917-23-7,methanol,,,,
"Tetrathiafulvalene (TTF, 2,2’-bi-1,3-dithiole)",31366-25-3,cyclohexane/hexane,,,,
"1,2,3,4-(1H)Tetrazole",288-94-8,ethanol,,,,
Thianthrene,92-85-3,acetone,,,,
Thiazoline-2-thiol,96-53-7,water,,,,
"1,1'-Thiocarbonyldiimidazole",6160-65-2,tetrahydrofuran,,,,
2-Thiocytosine (4-amino-2-mercaptopyrimidine),333-49-3,water,,,,
1-Thioflavone (2-phenylthiochromen-4-one),784-62-3,ethanol,,,,
Thioindigo,522-75-8,carbon_tetrachloride,chloroform,,,
Thiophene-2-acetic acid,1918-77-0,petroleum_ether,water,,,
Thiophene-3-acetic acid,6964-21-2,petroleum_ether/water,,,,
Thiophene-3-carboxylic acid,88-31-1,water,,,,
"Thiophene-2,5-dicarboxylic acid (2,5-dicarboxythiophene)",4282-31-9,water,methanol,,,
"Thymine (5-methylpyrimidin-2,4-dione, 5-methyluracil)",65-71-4,ethyl_acetate,,,,
"1,2,4(1H)-Triazole",288-88-0,ethanol,water,,,
Tricycloquinazoline,195-84-6,chloroform,toluene,,,
Trigonelline (1-methylnicotinic acid zwitterion),535-83-1,ethanol,,,,
"2,3,5-Triphenyltetrazolium chloride (TTC, TTZ)",298-96-4,ethanol/chloroform,,,,
"1,3,5-Trithiane (thioformaldehyde trimer)",291-21-4,acetic_acid/toluene,,,,
3-Tropanol (Tropine),120-29-6,diethyl_ether/toluene/petroleum_ether,ethanol,,,
Tryptamine hydrochloride,343-94-2,ethanol,,,,
β-Uridine (uracil-1-β-D-ribofuranoside),58-96-8,water/ethanol,,,,
δ-Valerolactam (2-piperidone),675-20-7,diethyl_ether,ethanol,chloroform,,
"Viologen (4,4'-dipyridyl dihydrochloride)",27926-72-3,methanol,,,,
9-Xanthone (9-xanthenone),90-47-1,ethanol,,,,
Yohimbine (Rauwolscine),146-48-5,ethanol,,,,
Acetonyltriphenylphosphonium chloride,1235-21-8,water,methanol/water,chloroform/petroleum_ether,,
"N-Acetyl-4-hydroxy-m-arsanilic acid (Acetarsol, Stovarsol, 3-acetamido-4-hydroxyphenylarsonic acid)",97-44-9,water,,,,
2-Amino-4-sulfobenzoic acid,98-43-1,water,,,,
Ammonium dodecylsulfate (ammonium laurylsulfate),2235-54-3,ethanol,,,,
Benzaldehyde-2-sulfonic acid sodium salt,1008-72-6,water,,,,
Benzeneselenenyl bromide (phenylselenenyl bromide),34837-55-3,petroleum_ether,,,,
Benzenestibonic acid,535-46-6,acetic_acid,ethanol,,,
m-Benzenedisulfonic acid,98-48-6,water,diethyl_ether,ethanol,,
Benzenesulfonyl chloride,98-09-9,water,,,,
"Benzotriazol-1-yloxytris(dimethylamino)phosphonium hexafluorophosphate (BOP, Castro’s Reagent)",56602-33-6,diethyl_ether,,,,
S-Benzylisothiuronium chloride,538-28-3,ethanol,,,,
Benzyltriphenylphosphonium chloride,1100-88-5,ethanol,,,,
Bis-(4-fluoro-3-nitrophenyl) sulfone,312-30-1,acetone/water,,,,
Bis-(phenylsulfonyl)imide (dibenzenedisulfimide),2618-96-4,water,diethyl_ether,,,
"Bismuthiol I (2,5-dimercapto-1,3,4-thiadiazole) potassium salt",4628-94-8,ethanol,,,,
"2,4-Bis(p-tolylthio)-1,3,2λ5,4λ5-dithiadiphosphetane-2,4-dithione (Heimgartner's reagent or Davy's rea- gent p-tolyl)",114234-09-2,toluene,,,,
4-Bromobenzenesulfonyl chloride,98-58-8,petroleum_ether,,,,
"Bromophenol Blue (3,3',5,5'-tetrabromophenolsulfonephthalein, sultone form)",115-39-9,acetone/acetic_acid,,,,
"Bromopyrogallol Red (5,5'-dibromopyrogallolsulfonephthalein)",16574-43-9,ethanol/water,,,,
But-3-enylboronic acid,379669-72-4,toluene,,,,
Butylboronic acid (1-butanedihydroxyborane),4426-47-5,petroleum_ether,,,,
(1R)-(-)Camphor-10-sulfonic acid,35963-20-3,acetic_acid,acetic_acid/ethyl_acetate,water,diethyl_ether,
(1S)-(+)Camphor-10-sulfonic acid,3144-16-9,water,,,,
4-Chlorobenzenesulfonyl chloride,98-60-2,water,,,,
S-4-Chlorobenzylisothiuronium chloride,544-47-8,ethanol,,,,
"Chlorotriphenylsilane (TPSCl, triphenylchlorosilane)",76-86-8,petroleum_ether,,,,
Cupferron ammonium salt (N-nitroso-N-phenylhydroxylamine ammonium salt),135-20-6,ethanol,,,,
Cuprous iodide trimethylphosphite,34836-53-8,petroleum_ether,,,,
"4,4-Diaminodiphenyl sulfide (4,4’-thioaniline)",139-65-1,ethanol,ethanol/water,,,
Di-n-amyl n-amylphosphonate,6418-56-0,hexane,,,,
Dibenzyl disulfide,150-60-7,ethanol,,,,
Dibenzyl sulfide,538-74-9,ethanol,diethyl_ether,,,
Di-n-butyl cyclohexylphosphonate,1085-92-3,hexane,,,,
"Dichloramine-T (N,N-dichloro-p-toluenesulfonamide)",473-34-7,petroleum_ether/chloroform/petroleum_ether,,,,
"O,O-Diethyl-S-2-diethylaminoethyl phosphorothiolate",78-53-5,isopropanol,,,,
Dihexadecyl phosphate (DHP),2197-63-9,methanol,,,,
"4,4'-Dimethoxythiobenzophenone",958-80-5,ethanol,,,,
"2,6-Dimethyl-1,10-phenanthrolinedisulfonic acid, di-Na salt (H2O) (bathocuproine-disulfonic acid di-Na salt)",52698-84-7,ethanol,,,,
"2,4-Dinitrobenzenesulfenyl chloride (Kharasch reagent)",528-76-7,carbon_tetrachloride,,,,
"2,4-Dinitrobenzenesulfonyl chloride",1656-44-6,petroleum_ether,,,,
Diphenyl disulfide (phenyl disulfide),882-33-7,methanol,diethyl_ether,hexane,,
Diphenyldiselenide,1666-13-3,chloroform/petroleum_ether,,,,
Diphenylphosphinic acid,1707-03-5,ethanol/water,,,,
Diphenylsilanediol,947-42-2,chloroform,,,,
"Disodium 4,5(1,8)-dihydroxynaphthalene-2,7(3,6)-disulfonate 2H2O (Chromotropic acid di-Na salt)",5808-22-0,water,,,,
Di-p-tolyl sulfone,599-66-6,diethyl_ether/ethanol,,,,
Ethoxycarbonylmethylene triphenylphosphonium bromide,1530-45-6,chloroform,,,,
Ethylarsonic acid,507-32-4,ethanol,water,,,
"S,S’-Ethylene di(p-toluenethiosulfonate) (ethylene dithiotosylate)",2225-23-2,ethyl_acetate,,,,
Ethynyl p-tolylsulfone (tosylacetylene),13894-21-8,petroleum_ether,,,,
Ethyl triphenylphosphonium bromide,1530-32-1,water,,,,
6-Hydroxy-2-naphthyl disulfide,6088-51-3,acetic_acid,acetic_acid/dioxane,,,
Magnesium dodecylsulfate,3097-08-3,ethanol,,,,
Manganous ethylenebis(dithiocarbamate) (Maneb),12427-38-2,ethanol,,,,
Metanilic acid (3-aminobenzenesulfonic acid),121-47-1,water,,,,
Methoxycarbonylmethyltriphenylphosphonium bromide,1779-58-4,chloroform/diethyl_ether,,,,
Methylarsonic acid,124-58-3,acetone,,,,
Methylphosphonic acid,993-13-5,ethanol/water,,,,
Methyl 4-toluenesulfonate,80-48-8,petroleum_ether/diethyl_ether/petroleum_ether,,,,
Methyl triphenylphosphonium bromide,1779-49-3,water,,,,
Naphthalene-2-sulfonyl chloride,93-11-8,petroleum_ether,ethanol,,,
"Naphthol Yellow S (citronin A, Food Yellow 1, flavianic acid sodium salt, 8-hydroxy-5,7-dinitro-2naphthalene sulfonic acid disodium salt)",846-70-8,acetic_acid,,,,
2-Naphthylamine-6-sulfonic acid (Broenner’s acid),93-00-5,ethanol,,,,
2-Nitrobenzenesulfenyl chloride (NPS-Cl),7669-54-7,petroleum_ether,carbon_tetrachloride,,,
2-Nitrobenzenesulfonyl chloride,1694-92-4,ethanol,,,,
3-Nitrobenzenesulfonyl chloride,121-51-7,petroleum_ether/carbon_tetrachloride,acetic_acid,carbon_tetrachloride,,
4-Nitrobenzenesulfonyl chloride (Nosyl chloride),98-74-8,petroleum_ether/diethyl_ether/petroleum_ether,,,,
n-Octadecylphosphonic acid (ODPA),4724-74-4,hexane,,,,
Octaphenyl cyclotetrasiloxane,546-56-5,acetic_acid,,,,
"Orange G (Acid Orange 10, 1-phenylazo-2-naphthol-6,8-disulfonic acid di-Na salt)",1936-15-8,ethanol,ethanol/water,,,
"Phenol-2,4-disulfonic acid",96-77-5,ethanol,,,,
"1,4-Phenylene diisothiocyanate (bitoscanate)",4044-65-9,acetic_acid,,,,
Phenylboronic acid (benzeneboronic acid),98-80-6,water,,,,
Phenyl methanesulfonate,16156-59-5,methanol,,,,
1-Phenylthiosemicarbazide,645-48-7,ethanol,,,,
4-Phenylthiosemicarbazide,5351-69-9,ethanol,,,,
Phenyl 4-toluenesulfonate,640-60-8,methanol,,,,
Polystyrenesulfonic acid sodium salt (-CH2CH(C6H4SO3Na)-),25704-18-1,ethanol,,,,
Potassium 2-furantrifluoroborate,166328-14-9,acetonitrile,,,,
Potassium tetraphenylborate,3244-41-5,acetone,,,,
Potassium trimethylsilanolate (trimethylsilanol K salt),10519-96-7,water,,,,
Propargyl triphenyl phosphonium bromide,2091-46-5,ethanol,,,,
Propylphosphonic acid (1-propanephosphonic acid),4672-38-2,hexane,,,,
"1,3,6,8-Pyrenetetrasulfonic acid",6528-53-6,water,,,,
Selenourea,630-10-4,water,ethanol/diethyl_ether,,,
Silicon tetraacetate,562-90-3,petroleum_ether/diethyl_ether,,,,
